"protein_A","protein_B"
"4931406C07Rik","Actg1"
"4931406C07Rik","Aldoc"
"4931406C07Rik","Pdlim5"
"4931406C07Rik","Prdx5"
"4931406C07Rik","Rab1A"
"4931406C07Rik","Ube2m"
"8030462N17Rik","Anp32e"
"8030462N17Rik","Chm"
"8030462N17Rik","Csde1"
"8030462N17Rik","Cul3"
"8030462N17Rik","Decr1"
"8030462N17Rik","Dnaja2"
"8030462N17Rik","Dnaja4"
"8030462N17Rik","Eef1b"
"8030462N17Rik","Gart"
"8030462N17Rik","Hnrnph2"
"8030462N17Rik","Ide"
"8030462N17Rik","Impdh2"
"8030462N17Rik","Nap1l1"
"8030462N17Rik","Nif3l1"
"8030462N17Rik","Nipsnap2"
"8030462N17Rik","Nono"
"8030462N17Rik","Ogdh"
"8030462N17Rik","Picalm"
"8030462N17Rik","Pip4k2b"
"8030462N17Rik","Ppp2r5a"
"8030462N17Rik","Psme4"
"8030462N17Rik","Rabggta"
"8030462N17Rik","Rpa1"
"8030462N17Rik","Rpl11"
"8030462N17Rik","Rpl23"
"8030462N17Rik","Rps12-ps3"
"8030462N17Rik","Rps18"
"8030462N17Rik","Rps3"
"8030462N17Rik","Skp1"
"8030462N17Rik","Srsf6"
"8030462N17Rik","Uchl5"
"9530053A07Rik","Abraxas2"
"9530053A07Rik","Babam1"
"9530053A07Rik","Babam2"
"9530053A07Rik","Brcc3"
"9530053A07Rik","Wdr61"
"A1cf","Hao1"
"A2m","Camk2d"
"A2m","Cnn3"
"A2m","Copb2"
"A2m","Cope"
"A2m","Copz1"
"A2m","Eef1d"
"A2m","Eif4g1"
"A2m","Hook3"
"A2m","Kif5b"
"A2m","Klc1"
"A2m","Sec31a"
"A2m","Sf3a1"
"A2m","Uso1"
"Aacs","Dctpp1"
"Aamp","Acads"
"Aamp","Actr2"
"Aamp","Actr3"
"Aamp","Agfg1"
"Aamp","Aldh1a2"
"Aamp","Arfgap2"
"Aamp","Arpc1a"
"Aamp","Arpc2"
"Aamp","Arpc3"
"Aamp","Arpc4"
"Aamp","Arpc5l"
"Aamp","Ces1d"
"Aamp","Coro1a"
"Aamp","Coro1c"
"Aamp","Coro7"
"Aamp","Egfr"
"Aamp","Fubp1"
"Aamp","Gga1"
"Aamp","Grpel1"
"Aamp","Herc4"
"Aamp","Hypk"
"Aamp","Iars2"
"Aamp","Igh-3"
"Aamp","Irs1"
"Aamp","Kif1bp"
"Aamp","Kpna4"
"Aamp","Lonp1"
"Aamp","Lyve1"
"Aamp","Mut"
"Aamp","Naa10"
"Aamp","Naa15"
"Aamp","Naga"
"Aamp","Pcyt2"
"Aamp","Plaa"
"Aamp","Ppp2r5d"
"Aamp","Rabggta"
"Aamp","Rcn1"
"Aamp","Rps27a"
"Aamp","Rwdd1"
