"protein_A","protein_B"
"4931406C07Rik","Aldh1a7"
"4931406C07Rik","Aldh1b1"
"4931406C07Rik","Aldh7a1"
"4931406C07Rik","Clic1"
"4931406C07Rik","Clns1a"
"4931406C07Rik","Gm9755"
"4931406C07Rik","Ndufab1"
"4931406C07Rik","Serpinb1a"
"4931406C07Rik","Serpinb6a"
"4931406C07Rik","Slc25a5"
"4931406C07Rik","Ssb"
"A2m","Arcn1"
"A2m","Copa"
"A2m","Copb1"
"A2m","Cope"
"A2m","Copg1"
"A2m","Txndc9"
"Aak1","Fasn"
"Aak1","Hsp90b1"
"Aak1","Ppp5c"
"Aak1","Shtn1"
"Aak1","Snrpa"
"Aamp","Arih1"
"Aamp","Arpc5l"
"Aamp","Creld2"
"Aamp","Drg2"
"Aamp","Gmpr"
"Aamp","Herc4"
"Aamp","Iars2"
"Aamp","Ipo5"
"Aamp","Rabggta"
"Aamp","Rwdd1"
"Aamp","Serpinb6a"
"Aamp","Xpnpep1"
"Aamp","Zpr1"
"Aars","Adsl"
"Aars","Anp32e"
"Aars","C5"
"Aars","C7"
"Aars","Camk4"
"Aars","Coro1b"
"Aars","Dbnl"
"Aars","Dpysl3"
"Aars","Entpd5"
"Aars","Epm2aip1"
"Aars","Fnta"
"Aars","Ggps1"
"Aars","Gls"
"Aars","Gm27029"
"Aars","Gnpda1"
"Aars","Grpel1"
"Aars","Gtf2f2"
"Aars","Hmgcs1"
"Aars","Hs1bp3"
"Aars","Hsd17b10"
"Aars","Jmjd6"
"Aars","Lap3"
"Aars","Lig1"
"Aars","Me1"
"Aars","Mthfd1l"
"Aars","Mtr"
"Aars","Nedd4"
"Aars","Nrd1"
"Aars","Ogdh"
"Aars","Pfdn1"
"Aars","Pfdn2"
"Aars","Pfdn4"
"Aars","Pfdn5"
"Aars","Pfdn6"
"Aars","Ppm1g"
"Aars","Ppme1"
"Aars","Ppp1cb"
"Aars","Ppp1r7"
"Aars","Psme1"
"Aars","Psme2"
"Aars","Rad23b"
"Aars","Rangap1"
"Aars","Rpa1"
"Aars","Rpa2"
"Aars","Rpa3"
"Aars","Shmt1"
"Aars","Stat5b"
"Aars","Tars"
"Aars","Usp5"
"Aars","Xdh"
"Aarsd1","Anp32e"
"Aarsd1","Calr"
"Aarsd1","Camk4"
"Aarsd1","Coro1b"
"Aarsd1","Eif4b"
"Aarsd1","Elac2"
"Aarsd1","Ggps1"
"Aarsd1","Hsd17b10"
"Aarsd1","Lap3"
"Aarsd1","Lig1"
"Aarsd1","Mcm5"
"Aarsd1","Me1"
"Aarsd1","Nedd4"
"Aarsd1","Nrd1"
"Aarsd1","Ogdh"
"Aarsd1","Ppp1r7"
"Aarsd1","Rpa1"
"Aarsd1","Rpa3"
"Aarsd1","Rpl5"
"Aarsd1","Selenof"
"Aarsd1","Tars"
"Aarsd1","Yars"
"Abcf1","Alad"
"Abcf1","Glul"
"Abcf1","Mug1"
"Abcf1","Npepl1"
"Abcf1","Nudc"
"Abi3","Aldh1l1"
"Abi3","Cops3"
"Abi3","Cops4"
"Abi3","Cops5"
"Abi3","Cops6"
"Abi3","Cops8"
"Abi3","Cpsf6"
"Abi3","Cyfip2"
"Abi3","Epb41l2"
"Abi3","Gps1"
"Abi3","Prdx3"
"Abraxas2","Babam2"
"Acaa2","Acadl"
"Acaa2","Acat2"
"Acaa2","Acat3"
"Acaa2","Acot9"
"Acaa2","Actr2"
"Acaa2","Actr3"
"Acaa2","Ahcy"
"Acaa2","Aldh1b1"
"Acaa2","Aldh2"
"Acaa2","Arpc1b"
"Acaa2","Arpc2"
"Acaa2","Arpc3"
"Acaa2","Arpc4"
"Acaa2","Arpc5"
"Acaa2","Asns"
"Acaa2","Atpaf2"
"Acaa2","Btf3"
"Acaa2","C3"
"Acaa2","Cacybp"
"Acaa2","Capn2"
"Acaa2","Capns1"
"Acaa2","Cat"
"Acaa2","Cse1l"
"Acaa2","Dcps"
"Acaa2","Dek"
"Acaa2","Dis3l2"
"Acaa2","Drg1"
"Acaa2","Fam192a"
"Acaa2","Fh"
"Acaa2","G6pdx"
"Acaa2","Gga1"
"Acaa2","Gmds"
"Acaa2","Gsn"
"Acaa2","Gss"
"Acaa2","Hnrnpll"
"Acaa2","Itih4"
"Acaa2","Ivd"
"Acaa2","Ldhb"
"Acaa2","Lsm4"
"Acaa2","Lsm6"
"Acaa2","Mvd"
"Acaa2","Naca"
"Acaa2","Nae1"
"Acaa2","Osgep"
"Acaa2","Pdcd4"
"Acaa2","Pdcd6ip"
"Acaa2","Pdha1"
"Acaa2","Pdia6"
"Acaa2","Pdlim1"
"Acaa2","Pdlim5"
"Acaa2","Pfas"
"Acaa2","Phgdh"
"Acaa2","Plaa"
"Acaa2","Plcg1"
"Acaa2","Ppil2"
"Acaa2","Psmd9"
"Acaa2","Ptma"
"Acaa2","Pygl"
"Acaa2","Rprd1b"
"Acaa2","Serpinf2"
"Acaa2","Shpk"
"Acaa2","Srsf2"
"Acaa2","Trnt1"
"Acaa2","Uba1"
"Acaa2","Uba3"
"Acaa2","Ube2l3"
"Acaa2","Ubxn1"
"Acaa2","Vcl"
"Acaa2","Xpo1"
"Acaa2","Ywhae"
"Acaa2","Ywhah"
"Acaa2","Znf207"
"Acaa2","Znf330"
"Acaca","Arcn1"
"Acaca","Cct2"
"Acaca","Cct3"
"Acaca","Cct4"
"Acaca","Cct5"
"Acaca","Cct6a"
"Acaca","Cct6b"
"Acaca","Cct7"
"Acaca","Cct8"
"Acaca","Cope"
"Acaca","Kif5b"
"Acaca","Klc1"
"Acaca","Lmna"
"Acaca","Lmnb1"
"Acaca","Pcca"
"Acaca","Pccb"
"Acaca","Psmb10"
"Acaca","Psmb11"
"Acaca","Ptpn23"
"Acaca","Tcp1"
"Acaca","Txndc9"
"Acaca","Uso1"
"Acacb","Canx"
"Acacb","Rab10"
"Acacb","Rab1A"
"Acacb","Rab5a"
"Acacb","Slc25a4"
"Acad10","Ddx39b"
"Acad10","Dlat"
"Acad10","Hnrnpm"
"Acad10","Mvp"
"Acad10","Pdhx"
"Acad10","Rpl29"
"Acad9","Acadl"
"Acad9","Acadm"
"Acad9","Acy1"
"Acad9","Aldh5a1"
"Acad9","Aldoa"
"Acad9","Atic"
"Acad9","Auh"
"Acad9","Bcat1"
"Acad9","Cat"
"Acad9","Cbx3"
"Acad9","Ces1c"
"Acad9","Ckb"
"Acad9","Cmpk1"
"Acad9","Cp"
"Acad9","Cse1l"
"Acad9","Cstb"
"Acad9","Dek"
"Acad9","Dtd1"
"Acad9","Echdc3"
"Acad9","Fbp1"
"Acad9","Fh"
"Acad9","Gc"
"Acad9","Gss"
"Acad9","Hibadh"
"Acad9","Hk1"
"Acad9","Hrg"
"Acad9","Kynu"
"Acad9","Ldhb"
"Acad9","Lsm2"
"Acad9","Luc7l2"
"Acad9","Mbnl1"
"Acad9","Mpp6"
"Acad9","Mvd"
"Acad9","Nagk"
"Acad9","Nsfl1c"
"Acad9","Pafah1b1"
"Acad9","Pdha1"
"Acad9","Pdhb"
"Acad9","Pdia4"
"Acad9","Pdlim1"
"Acad9","Pepd"
"Acad9","Pfas"
"Acad9","Ppp1r2"
"Acad9","Pts"
"Acad9","Pygl"
"Acad9","Rap1gds1"
"Acad9","Rprd1b"
"Acad9","Serpina6"
"Acad9","St13"
"Acad9","Tgm2"
"Acad9","Timm13"
"Acad9","Trap1"
"Acad9","Ttn"
"Acad9","Tubb2a"
"Acad9","Tubb3"
"Acad9","Vcl"
"Acad9","Ywhab"
"Acad9","Ywhag"
"Acad9","Ywhaq"
"Acad9","Ywhaz"
"Acadl","Acadm"
"Acadl","Acot9"
"Acadl","Acy1"
"Acadl","Aldh2"
"Acadl","Aldoa"
"Acadl","Apaf1"
"Acadl","Atic"
"Acadl","Auh"
"Acadl","Cacybp"
"Acadl","Capn2"
"Acadl","Capns1"
"Acadl","Cat"
"Acadl","Cbx3"
"Acadl","Celf2"
"Acadl","Ces1c"
"Acadl","Cfap36"
"Acadl","Ckb"
"Acadl","Cse1l"
"Acadl","Dcps"
"Acadl","Dek"
"Acadl","Dtd1"
"Acadl","Echdc3"
"Acadl","Echs1"
"Acadl","Fh"
"Acadl","G6pdx"
"Acadl","Gc"
"Acadl","Gclc"
"Acadl","Gclm"
"Acadl","Gsn"
"Acadl","Gss"
"Acadl","Hibadh"
"Acadl","Ifi47"
"Acadl","Ifit3"
"Acadl","Igbp1"
"Acadl","Ivd"
"Acadl","Ldhb"
"Acadl","Lsm2"
"Acadl","Lsm4"
"Acadl","Luc7l2"
"Acadl","Mbnl1"
"Acadl","Mvd"
"Acadl","Nae1"
"Acadl","Nsfl1c"
"Acadl","Numb"
