"protein_A","protein_B"
"AAP1","ARC1"
"AAP1","PBP1"
"AAR2","GDH2"
"AAR2","KAP95"
"AAR2","PRP8"
"AAR2","SMD1"
"AAR2","SMD2"
"AAR2","SNU114"
"AAT1","SEC27"
"AAT2","CDC73"
"AAT2","HHT1"
"ABF1","CWC2"
"ABF2","HAT1"
"ABF2","HHF1"
"ABF2","HTA2"
"ABF2","HTB2"
"ABP1","RAD23"
"ABP1","RFA1"
"ABP1","SGV1"
"ABP140","MRPS5"
"ACB1","RIC1"
"ACC1","HFA1"
"ACC1","RPC53"
"ACC1","RPL40A"
"ACC1","YJL070C"
"ACC1","YNL234W"
"ACO1","HSP42"
"ACO1","MCM22"
"ACO1","MYO4"
"ACO1","RSC4"
"ACO1","YPL107W"
"ACP1","YER048W-A"
"ACS2","TKL1"
"ACS2","USO1"
"ACT1","ARP4"
"ACT1","ARP8"
"ACT1","BSP1"
"ACT1","CRN1"
"ACT1","EPL1"
"ACT1","IES1"
"ACT1","MLC1"
"ACT1","RAD23"
"ACT1","RFA1"
"ACT1","RVS161"
"ACT1","SGV1"
"ACT1","SRV2"
"ACT1","UBP2"
"ACT1","VPS71"
"ACT1","YNG2"
"ADA2","GCN5"
"ADA2","HFI1"
"ADA2","NGG1"
"ADA2","SGF29"
"ADA2","SPT20"
"ADA2","SPT3"
"ADA2","TAF10"
"ADA2","TAF6"
"ADA2","UBP8"
"ADA2","YPL047W"
"ADE1","RRP46"
"ADE12","GCV2"
"ADE12","TUF1"
"ADE16","ADE17"
"ADE16","GLC7"
"ADE16","SOL1"
"ADE17","TPI1"
"ADE3","HCA4"
"ADE3","MGS1"
"ADE3","RNT1"
"ADE3","RPP0"
"ADE3","RPP2A"
"ADE3","YIL137C"
"ADE4","CCE1"
"ADE4","SEC31"
"ADE4","TOM1"
"ADE5,7","ADY3"
"ADE5,7","DNF3"
"ADE5,7","GDH2"
"ADE6","BUD2"
"ADE6","TDH2"
"ADE8","DED1"
"ADE8","HSP26"
"ADE8","PRT1"
"ADE8","RPP0"
"ADH1","ASF1"
"ADH1","ENO1"
"ADH1","HSC82"
"ADH1","ILV1"
"ADH1","RMD8"
"ADH1","RNR1"
"ADH1","SUP35"
"ADH1","UTP10"
"ADH1","YIL103W"
"ADH1","YNR014W"
"ADH2","YIL103W"
"ADH3","RPL40A"
"ADH3","RRB1"
"ADH3","UBP14"
"ADH4","PFK1"
"ADH7","LSP1"
"ADH7","PAF1"
"ADY3","HHT2"
"ADY3","HSP150"
"ADY3","ILV1"
"ADY3","LSM5"
"ADY3","POL1"
"ADY3","SFB2"
"ADY3","SKI7"
"ADY3","SPT16"
"ADY3","SWA2"
"ADY3","UFD4"
"ADY3","UTP9"
"ADY3","VID22"
"ADY3","YCR060W"
"AEP1","SUP35"
"AEP2","GFA1"
"AHA1","HSC82"
"AHA1","RIM4"
"AHA1","SSB1"
"AHA1","THS1"
"AHC1","KEL3"
"AIP1","SSE1"
"AIR1","MTR4"
"AIR2","MTR4"
"AKR2","HHT2"
"ALA1","GOD1"
"ALA1","YDR282C"
"ALD2","ALD3"
"ALD4","KAP104"
"ALD4","WRS1"
"ALD4","YLR278C"
"ALD4","YNL313C"
"ALD6","CTF4"
"ALD6","CYS4"
"ALG1","ARC1"
"ALG7","HHT1"
"AMD1","YJL070C"
"AME1","CHL4"
"AME1","CTF19"
"AME1","DED1"
"AME1","IML3"
"AME1","MCM16"
"AME1","MCM21"
"AME1","NKP2"
"AME1","OKP1"
"AMS1","RRB1"
"ANP1","TIF6"
"AOR1","ARP4"
"AOR1","BDF1"
"AOR1","CKA1"
"AOR1","GOD1"
"AOR1","MIP6"
"AOR1","RVB1"
