"protein_A","protein_B"
"aaeA","cpxR"
"aaeB","malY"
"aaeB","metF"
"aaeR","lsrB"
"aaeR","prsA"
"aaeR","ytfQ"
"aas","groL"
"aas","manA"
"aas","norV"
"aas","paaJ"
"aas","ribC"
"aas","rpsM"
"aas","yecD"
"aat","bglX"
"aat","groL"
"aat","infA"
"aat","kdpB"
"aat","ninE"
"aat","speA"
"aat","yeeN"
"aat","yjdA"
"abgA","abgT"
"abgA","bioC"
"abgA","sdhA"
"abgA","yagY"
"abgA","ygfT"
"abgB","gmr"
"abgB","groL"
"abgB","ordL"
"abgB","RhsE"
"abgB","yhcA"
"abgB","yjgL"
"abgR","groL"
"abgR","ydjF"
"abgR","ygiQ"
"abgT","allB"
"abgT","fusA"
"abgT","uspE"
"accA","accD"
"accA","emtA"
"accA","groL"
"accA","hemF"
"accA","hinT"
"accA","nadA"
"accA","prsA"
"accB","accC"
"accB","dnaK"
"accB","gltX"
"accB","pmbA"
"accB","rpsC"
"accB","ykgF"
"accC","bcsC"
"accC","greA"
"accC","nadE"
"accC","ppiB"
"accC","yajQ"
"accC","ydiD"
"accC","yiiQ"
"accC","yiiS"
"accC","yraN"
"accD","coaA"
"aceA","hisS"
"aceA","napA"
"aceA","yhhP"
"aceB","adhP"
"aceB","araD"
"aceB","atoB"
"aceB","glgX"
"aceB","mukB"
"aceB","tgt"
"aceB","ygcE"
"aceB","ylaC"
"aceE","aceF"
"aceE","araA"
"aceE","argS"
"aceE","fdnG"
"aceE","fumB"
"aceE","groL"
"aceE","lpd"
"aceE","lpxM"
"aceE","ordL"
"aceE","pdhR"
"aceE","relA"
"aceE","ruvB"
"aceE","sbp"
"aceE","stfR"
"aceE","tig"
"aceE","trpE"
"aceE","trxC"
"aceE","tynA"
"aceE","ydeN"
"aceE","ydhW"
"aceE","yebA"
"aceE","yecP"
"aceE","yffH"
"aceE","yfjK"
"aceE","ygcB"
"aceE","znuA"
"aceF","acnB"
"aceF","lpd"
"aceF","mukB"
"aceF","paaJ"
"aceF","pdhR"
"aceF","poxA"
"aceF","rplV"
"aceF","rplY"
"aceF","rpmF"
"aceF","rpmH"
"aceF","sdhA"
"aceF","tadA"
"aceF","trxC"
"aceF","ybbK"
"aceK","groL"
"aceK","mog"
"aceK","pabB"
"aceK","rplB"
"aceK","sdhA"
"ackA","ahpC"
"ackA","bglJ"
"ackA","def"
"ackA","fur"
"ackA","glyA"
"ackA","greA"
"ackA","greB"
"ackA","hemX"
"ackA","hyfE"
"ackA","kdsD"
"ackA","mgsA"
"ackA","moaC"
"ackA","rpmB"
"ackA","ybgA"
"acnA","lpxA"
"acnA","nadE"
"acnA","stfQ"
"acnB","aspS"
"acnB","cynR"
"acnB","gntY"
"acnB","groL"
"acnB","lpxM"
"acnB","ordL"
"acnB","relA"
"acnB","sbcC"
"acnB","speD"
"acnB","tdcE"
"acnB","torZ"
"acnB","trpE"
"acnB","ulaB"
"acnB","yffH"
"acnB","zwf"
"acpS","groL"
"acpS","oxyR"
"acpS","potG"
"acpS","ptr"
"acpS","rplB"
"acpS","rplD"
"acpS","rplF"
"acpS","rpsC"
"acpS","rpsG"
"acpS","ybiB"
"acpS","ycgG"
"acpS","ydgJ"
"acpS","yfeG"
"acpS","yfeK"
"acpS","ygiB"
"acpS","yjbN"
"acpS","yjgM"
"acpS","yphE"
"acpS","yqiH"
"acrB","infA"
"acrB","ydfG"
"acrB","yegQ"
"acrB","ymdB"
