"protein_A","protein_B"
"aas","acpP"
"aas","secA"
"aas","yfgB"
"abc","b0817"
"abc","gyrB"
"abc","hycG"
"abc","ilvD"
"abc","infB"
"abc","perR"
"abc","tufB"
"abc","uvrD"
"abc","wcaC"
"abc","yfeA"
"abc","yhjB"
"abc","yjhC"
"accA","accC"
"accA","accD"
"accA","acpP"
"accA","cspA"
"accA","cspC"
"accA","cspD"
"accA","deaD"
"accA","dnaK"
"accA","fabA"
"accA","hslV"
"accA","infB"
"accA","lysU"
"accA","mreB"
"accA","ppiC"
"accA","rplC"
"accA","rplR"
"accA","rplV"
"accA","rplW"
"accA","rpoD"
"accA","uvrD"
"accA","yceC"
"accA","yieN"
"accB","accC"
"accB","helD"
"accB","holA"
"accB","hslU"
"accB","hslV"
"accB","ribD"
"accB","yieN"
"accC","accD"
"accC","cysM"
"accC","dnaK"
"accC","dnaN"
"accC","holA"
"accC","hslU"
"accC","hslV"
"accC","ribD"
"accC","rplC"
"accC","yhdY"
"accC","yieN"
"accD","cspC"
"accD","dnaK"
"accD","ftsA"
"accD","hslU"
"accD","hslV"
"accD","pepD"
"accD","pgm"
"accD","ppiC"
"accD","rfaI"
"accD","ribD"
"accD","rplU"
"accD","rplV"
"accD","rpmG"
"accD","yegN"
"accD","yhdA"
"aceE","acpP"
"aceE","b1163"
"aceE","b1248"
"aceE","b1327"
"aceE","b1341"
"aceE","b1583"
"aceE","b1731"
"aceE","b1808"
"aceE","b2383"
"aceE","cadA"
"aceE","cheY"
"aceE","clpP"
"aceE","cspB"
"aceE","cspD"
"aceE","dam"
"aceE","deaD"
"aceE","dnaB"
"aceE","dnaE"
"aceE","dnaJ"
"aceE","dxs"
"aceE","fdhD"
"aceE","fdnG"
"aceE","ftsA"
"aceE","ftsK"
"aceE","gidB"
"aceE","greA"
"aceE","hns"
"aceE","holB"
"aceE","hrpA"
"aceE","hycI"
"aceE","ilvB"
"aceE","lig"
"aceE","lolA"
"aceE","lysU"
"aceE","mopA"
"aceE","napA"
"aceE","nikD"
"aceE","nth"
"aceE","ntpA"
"aceE","nusA"
"aceE","ogt"
"aceE","proA"
"aceE","proS"
"aceE","purB"
"aceE","recB"
"aceE","recD"
"aceE","recE"
"aceE","recJ"
"aceE","recQ"
"aceE","rhlB"
"aceE","ribF"
"aceE","rnhA"
"aceE","rpoA"
"aceE","selB"
"aceE","tag"
"aceE","tgt"
"aceE","thdF"
"aceE","topB"
"aceE","trmA"
"aceE","ubiC"
"aceE","uvrC"
"aceE","uvrD"
"aceE","xthA"
"aceE","ybeZ"
"aceE","ybhF"
"aceE","ybhK"
"aceE","yceC"
"aceE","yciL"
"aceE","ydiA"
"aceE","yebM"
"aceE","yfgB"
"aceE","yggH"
"aceE","ygiF"
"aceE","ygjD"
"aceE","yhbU"
"aceE","yhhP"
"aceE","yhiR"
"aceE","yjeA"
"aceE","yjeQ"
"aceE","yohI"
"aceE","yraN"
"aceF","acpP"
"aceF","aidB"
"aceF","alkA"
"aceF","b1163"
"aceF","b1248"
"aceF","b1341"
"aceF","b1374"
"aceF","b1399"
"aceF","b1731"
"aceF","b2341"
"aceF","cheY"
"aceF","cspB"
"aceF","dcm"
"aceF","fdhD"
"aceF","fimB"
"aceF","ftsJ"
"aceF","gidB"
"aceF","gyrA"
"aceF","hrpA"
"aceF","hrpB"
"aceF","hsdR"
"aceF","hsdS"
"aceF","iclR"
"aceF","intA"
"aceF","intC"
"aceF","malP"
"aceF","napD"
"aceF","narJ"
"aceF","nfi"
"aceF","nfo"
"aceF","ogt"
"aceF","parC"
"aceF","polA"
"aceF","ppk"
"aceF","recB"
"aceF","recG"
"aceF","recJ"
"aceF","recQ"
"aceF","rnhA"
"aceF","rnpA"
"aceF","rnt"
"aceF","rpoA"
"aceF","selB"
"aceF","tgt"
"aceF","topA"
"aceF","topB"
"aceF","tyrR"
"aceF","ubiC"
"aceF","uvrB"
"aceF","uvrD"
"aceF","xthA"
"aceF","yadB"
"aceF","ybcJ"
"aceF","ybeZ"
"aceF","ybhF"
"aceF","ybjX"
"aceF","yceA"
"aceF","yceC"
