"protein_A","protein_B"
"aaeA","yhcC"
"aas","acpP"
"aas","secA"
"aat","galF"
"abgT","topB"
"accA","accC"
"accA","accD"
"accA","acpP"
"accA","cspC"
"accA","yccW"
"accA","yeaO"
"accA","yeeX"
"accA","yfbU"
"accA","yffS"
"accA","yjgA"
"accB","accC"
"accB","helD"
"accB","holA"
"accB","hslU"
"accB","hslV"
"accB","ribD"
"accC","accD"
"accC","cysM"
"accC","ribD"
"accC","yhdY"
"accD","cspC"
"accD","purA"
"accD","ribD"
"accD","yeaO"
"accD","yfaY"
"aceA","blc"
"acnA","csrA"
"acnA","dsbA"
"acnA","edd"
"acnA","gadB"
"acnA","glgP"
"acnA","glnE"
"acnA","gltA"
"acnA","rho"
"acnA","rplS"
"acnA","rplX"
"acnA","rpmF"
"acnA","rpsA"
"acnA","tig"
"acnA","yhbY"
"acnB","aldA"
"acnB","aldB"
"acnB","argT"
"acnB","dapB"
"acnB","gabD"
"acnB","gatA"
"acnB","gcvP"
"acnB","groS"
"acnB","php"
"acnB","yaeT"
"acpP","acpS"
"acpP","aidB"
"acpP","cyoA"
"acpP","cyoC"
"acpP","cyoE"
"acpP","deaD"
"acpP","exbD"
"acpP","fabB"
"acpP","fabF"
"acpP","fabG"
"acpP","ftsX"
"acpP","glmU"
"acpP","hupB"
"acpP","lpxD"
"acpP","mukB"
"acpP","murC"
"acpP","nlpD"
"acpP","plsB"
"acpP","ribF"
"acpP","rplL"
"acpP","rplO"
"acpP","rpsF"
"acpP","rpsH"
"acpP","rpsM"
"acpP","secA"
"acpP","spoT"
"acpP","xerD"
"acpP","ybgC"
"acpP","yebY"
"acpP","yhbJ"
"acpP","yhbY"
"acpP","yhjD"
"acpP","yiiD"
"acpP","yjgI"
"acpP","yqeF"
"acpS","murC"
"acpS","tufB"
"acpT","ppa"
"acrA","eno"
"acrA","gadB"
"acrA","gapA"
"acrB","gidB"
"acrD","cspD"
"acrD","ribF"
"acrF","tufB"
"actP","ppa"
"add","ftsZ"
"add","gyrA"
"add","ibpA"
"add","ibpB"
"add","mreB"
"add","rcsA"
"adhE","blc"
"adhE","exbB"
"adhE","flu"
"adhE","lhr"
"adhE","lysU"
"adhE","nagB"
"adhE","rimI"
"adhE","wbbK"
"adhE","ybcJ"
"adhE","yhbY"
"adhE","yhhX"
"adhE","yjbH"
"adhE","yodC"
"adiA","alkA"
"adiA","rplB"
"adiA","rrmJ"
"adiA","sucA"
"adiA","yahF"
"adiA","ybgI"
"adk","apaH"
"adk","cyoB"
"adk","exbD"
"adk","mrcA"
"adk","putA"
"adk","wbbK"
"adk","ybdL"
"aegA","citB"
"aegA","murD"
"aegA","sspB"
"afuC","tufB"
"agaI","clpP"
"agaR","ribD"
"agaR","uvrD"
"agp","galE"
"ahpC","blc"
"ahpC","clpX"
"ahpC","exbB"
"ahpC","fabA"
"ahpC","flu"
"ahpC","glnE"
"ahpC","hemB"
"ahpC","lhr"
"ahpC","mak"
"ahpC","mrcA"
"ahpC","potF"
"ahpC","proC"
"ahpC","putA"
"ahpC","sucC"
"ahpC","wbbK"
"ahpF","fes"
"aidB","cspC"
"aidB","fldA"
"aidB","groL"
"aidB","groS"
"aidB","nudH"
"aidB","rfaD"
"aidB","rluB"
"aidB","rluC"
"aidB","rplA"
"aidB","rplM"
"aidB","rplS"
"aidB","rplU"
"aidB","rpmB"
"aidB","rpsD"
"aidB","rpsF"
"aidB","rpsL"
"aidB","rpsN"
"aidB","rpsS"
"aidB","rpsT"
"aidB","smpB"
"aidB","ybaX"
"aidB","ybcJ"
"aidB","yhbY"
"aidB","yibA"
"aidB","yjgD"
"alaS","arpA"
"alaS","glmS"
"alaS","gltX"
"alaS","rluB"
"aldA","edd"
"aldA","folD"
"aldA","fur"
"aldA","gabD"
"aldA","gcvP"
"aldA","glcB"
"aldA","uup"
"aldA","yaeT"
"aldB","aspC"
"aldB","deoA"
"aldB","fur"
"aldB","gabD"
"aldB","gatA"
"aldB","gcvP"
"aldB","glcB"
"aldB","ycfD"
"alkB","yhcC"
"allC","yjbH"
"allR","hupA"
"allR","ileS"
"allR","mhpR"
"allR","rplR"
"allR","rplS"
"allR","rplU"
"allR","rpsF"
"allR","rpsL"
"allR","rpsM"
"allR","rpsN"
"allR","rpsO"
"alsA","ycaO"
"alsK","ddpD"
"alsK","entC"
"alsK","ychM"
"alsK","yjgA"
"alsK","ymdB"
"alsK","yohN"
"amiA","rnb"
"ampE","dusC"
"ampH","hupB"
"ampH","slyD"
"ampH","ybgI"
"amyA","cspG"
"ansB","mrcA"
"ansB","wbbK"
"apaH","dnaT"
"apaH","efp"
"apaH","eno"
"apaH","gapA"
"apaH","groS"
"apaH","hisB"
"apaH","hns"
"apaH","hupA"
"apaH","hupB"
"apaH","minD"
"apaH","rne"
"apaH","rplA"
"apaH","rplJ"
"apaH","rplS"
"apaH","rplY"
"apaH","rpmC"
"apaH","rpsH"
"apaH","rpsN"
"apaH","rpsP"
"apaH","rpsT"
"apaH","slyD"
"apaH","tig"
"apaH","yccJ"
"apaH","yfiD"
"apaH","ygiW"
"appC","yjjU"
"apt","ddlA"
"araG","metQ"
"araG","uvrD"
"arcA","ybaS"
"arcA","yebS"
"arcB","argG"
"arcB","ffh"
"arcB","glyA"
"arcB","hslO"
"arcB","ribB"
"argA","lepA"
"argG","glyA"
"argG","yjbH"
"argP","groL"
"argP","groS"
"argP","hslU"
"argP","tufB"
"argR","gmr"
"argR","pmbA"
"argS","uspF"
"argS","yebC"
"argT","deoA"
"argT","edd"
"argT","fur"
"argT","gabD"
"argT","gatA"
"argT","gcvP"
"argT","glcB"
"argT","gldA"
"argT","yadG"
"aroA","poxB"
"aroB","fusA"
"aroB","ihfB"
"aroE","yedE"
"aroE","yrdC"
"aroG","fdhE"
"aroG","ydfG"
"aroK","yeaZ"
"arpA","exbD"
"arpA","hyfE"
"arpA","nlpD"
"arpA","rpmB"
"arpA","ydiI"
"arpA","ydjL"
"arpA","yeiT"
"arpA","yfbN"
"arpB","ydiI"
"arpB","ydiZ"
"artM","yeaO"
"artP","ppk"
"artP","yccA"
"artQ","yadB"
"asmA","elaB"
"asmA","wbbK"
"asmA","yqjD"
"asnA","sucC"
"asnB","dnaE"
"aspA","blc"
"aspA","cspD"
"aspA","lpxD"
"aspC","fic"
"aspC","glf"
"aspC","nuoC"
"aspC","tig"
"aspS","infB"
"aspS","ispU"
"aspS","mrcA"
"aspS","rpoA"
"asr","tsf"
"asr","yibA"
"astC","gltA"
"astC","hupA"
"astD","mutH"
"atoD","ppa"
"atpA","atpC"
"atpA","atpD"
"atpA","atpG"
"atpA","cirA"
"atpA","exbB"
"atpA","fimB"
"atpA","parE"
"atpA","rnhA"
"atpA","topA"
"atpA","topB"
"atpA","tyrR"
"atpA","ugpA"
"atpA","wbbK"
"atpA","yciS"
"atpB","dnaQ"
"atpC","atpD"
"atpC","atpG"
"atpC","hypA"
"atpC","serB"
"atpC","ugpA"
"atpC","yfdH"
"atpD","atpG"
"atpD","cirA"
"atpD","dnaJ"
"atpD","helD"
"atpD","hybG"
"atpD","ibpA"
"atpD","macA"
"atpD","mreB"
"atpD","rnhA"
"atpD","ugpA"
"atpD","ybaY"
"atpD","yjdJ"
"atpF","ftsX"
"atpG","cspA"
"atpG","recJ"
"atpG","recQ"
"atpG","rnhA"
"atpG","yciS"
"atpH","tyrR"
"bacA","lpxB"
"barA","clpA"
"basS","prfA"
"basS","ybhK"
"bcsA","tgt"
"bcsB","serS"
"bcsG","infB"
"bcsG","ppiB"
"bcsG","rplI"
"bcsG","rplL"
"bcsG","rplW"
"bcsG","yhjD"
"betB","lolB"
"bfr","yqjI"
"bglB","yaiA"
"bglB","yjgF"
"bglG","folP"
"bglG","ydiM"
"bglX","ydjA"
"bioA","lysS"
"bioB","secA"
"bipA","dgoR"
"bipA","ybeY"
"birA","glpB"
"birA","nanE"
"birA","rplU"
"birA","rpsN"
"blc","cspA"
"blc","dps"
"blc","eno"
"blc","fabD"
"blc","fbaA"
"blc","gadB"
"blc","gapA"
"blc","groS"
"blc","hupA"
"blc","luxS"
"blc","malE"
"blc","pflB"
"blc","pgk"
"blc","phoB"
"blc","ptsH"
"blc","purA"
"blc","pykF"
"blc","rplA"
"blc","rplB"
"blc","rplF"
"blc","rplO"
"blc","rplP"
"blc","rplY"
"blc","rpmB"
"blc","rpmG"
"blc","rpsA"
"blc","rpsC"
"blc","rpsJ"
"blc","rpsN"
"blc","secB"
"blc","tig"
"blc","ugpB"
"blc","yfcZ"
"blc","yfiD"
"bolA","dppB"
"bolA","miaB"
