"protein_A","protein_B"
"0610010K14Rik","Ahnak"
"0610010K14Rik","Ddx1"
"0610010K14Rik","Decr1"
"0610010K14Rik","Dlat"
"0610010K14Rik","Hnrnpm"
"0610010K14Rik","Rpl10"
"0610010K14Rik","Rpl17"
"0610010K14Rik","Rpl18"
"0610010K14Rik","Rpl19"
"0610010K14Rik","Rpl23a"
"0610010K14Rik","Rpl24"
"0610010K14Rik","Rpl28"
"0610010K14Rik","Rpl29"
"0610010K14Rik","Rpl35"
"0610010K14Rik","Rpl4"
"0610010K14Rik","Rplp0"
"0610010K14Rik","Rps11"
"0610010K14Rik","Rtcb"
"2310035C23Rik","Diaph1"
"2310035C23Rik","Eif4g1"
"2310035C23Rik","Kif5b"
"2310035C23Rik","Pcca"
"2310035C23Rik","Pccb"
"2310035C23Rik","Ppp4r2"
"2310035C23Rik","Ppp4r3a"
"2310035C23Rik","Psma2"
"2310035C23Rik","Psma4"
"2310035C23Rik","Psma5"
"2310035C23Rik","Psma6"
"2310035C23Rik","Psma7"
"2310035C23Rik","Psmb1"
"2310035C23Rik","Psmb7"
"2310035C23Rik","Sept4"
"2310035C23Rik","Sparcl1"
"2310035C23Rik","Tln2"
"3110082I17Rik","Mecp2"
"3110082I17Rik","Uck1"
"4931406C07Rik","Ptms"
"9030624J02Rik","Cap2"
"9030624J02Rik","Ccdc93"
"9030624J02Rik","Commd8"
"9030624J02Rik","Csnk2a1"
"9030624J02Rik","Eml1"
"9030624J02Rik","Fasn"
"9030624J02Rik","Hsp90aa1"
"9030624J02Rik","Hsp90ab1"
"9030624J02Rik","Hsp90b1"
"9030624J02Rik","Kif13a"
"9030624J02Rik","Kif21a"
"9030624J02Rik","Mccc1"
"9030624J02Rik","Mccc2"
"9030624J02Rik","Scyl2"
"9030624J02Rik","Shtn1"
"9030624J02Rik","Slk"
"9030624J02Rik","Snrnp70"
"9030624J02Rik","Stip1"
"9030624J02Rik","Tln1"
"A2m","Arcn1"
"A2m","Copa"
"A2m","Copb1"
"A2m","Copb2"
"A2m","Cope"
"A2m","Copg1"
"A2m","Copg2"
"Aamp","Acads"
"Aamp","Actr2"
"Aamp","Actr3"
"Aamp","Ager"
"Aamp","Agfg1"
"Aamp","Aldh1a2"
"Aamp","Apcs"
"Aamp","Arpc1a"
"Aamp","Arpc1b"
"Aamp","Arpc3"
"Aamp","Arpc5"
"Aamp","Arpc5l"
"Aamp","Btf3"
"Aamp","Btf3l4"
"Aamp","Ces1"
"Aamp","Cfdp1"
"Aamp","Coro1a"
"Aamp","Coro1c"
"Aamp","Coro7"
"Aamp","Cul1"
"Aamp","Dpysl2"
"Aamp","Dpysl5"
"Aamp","Drg2"
"Aamp","Egfr"
"Aamp","Fubp1"
"Aamp","Gm9493"
"Aamp","Gmpr"
"Aamp","Gmpr2"
"Aamp","Hars"
"Aamp","Iars2"
"Aamp","Ipo5"
"Aamp","Ipo9"
"Aamp","Itih4"
"Aamp","Lpp"
"Aamp","Mut"
"Aamp","Naga"
"Aamp","P4hb"
"Aamp","Pald1"
"Aamp","Pcyt2"
"Aamp","Pdia6"
"Aamp","Picalm"
"Aamp","Pkm"
"Aamp","Plaa"
"Aamp","Plcg1"
"Aamp","Ppp2r5d"
"Aamp","Rabggta"
"Aamp","Rad23a"
"Aamp","Rcn1"
"Aamp","Rwdd1"
"Aamp","Sh3bgr"
"Aamp","Smap1"
"Aamp","Suox"
"Aamp","Trnt1"
"Aamp","Uba2"
"Aamp","Uba6"
"Aamp","Xdh"
"Aars","Aarsd1"
"Aars","Bcam"
"Aars","C7"
"Aars","Calr"
"Aars","Chm"
"Aars","Ctps2"
"Aars","Ggps1"
"Aars","Gls"
"Aars","Gm27029"
"Aars","Klkb1"
"Aars","Lap3"
"Aars","Lztfl1"
"Aars","Me1"
"Aars","Nedd4"
"Aars","Ppp1r7"
"Aars","Sae1"
"Aars","Shmt2"
"Aars","Tars"
"Aars","Tpd52l2"
"Aars","Yars"
"Aarsd1","C5"
"Aarsd1","Calr"
"Aarsd1","Gucy1b3"
"Aarsd1","Me1"
"Aarsd1","Nedd4"
"Aarsd1","Ppp1r7"
"Abcf1","Ahnak"
"Abcf1","Col14a1"
"Abcf1","Ddx1"
"Abcf1","Ddx5"
"Abcf1","Decr1"
"Abcf1","Fam98b"
"Abcf1","Gm10020"
"Abcf1","Gm16477"
"Abcf1","Hnrnpm"
"Abcf1","Macf1"
"Abcf1","Matr3"
"Abcf1","Myef2"
"Abcf1","Rpl10"
"Abcf1","Rpl10a"
"Abcf1","Rpl12"
"Abcf1","Rpl13"
"Abcf1","Rpl13a"
"Abcf1","Rpl14"
"Abcf1","Rpl17"
"Abcf1","Rpl18"
"Abcf1","Rpl19"
"Abcf1","Rpl21"
"Abcf1","Rpl23a"
"Abcf1","Rpl24"
"Abcf1","Rpl27a"
"Abcf1","Rpl28"
"Abcf1","Rpl29"
"Abcf1","Rpl3"
"Abcf1","Rpl32"
"Abcf1","Rpl35"
"Abcf1","Rpl35a"
"Abcf1","Rpl36"
"Abcf1","Rpl4"
"Abcf1","Rpl6"
"Abcf1","Rpl7"
"Abcf1","Rpl8"
"Abcf1","Rpl9"
"Abcf1","Rplp0"
"Abcf1","Rps11"
"Abcf1","Rps13"
"Abcf1","Rps15a"
"Abcf1","Rps23"
"Abcf1","Rps24"
"Abcf1","Rtcb"
"Abcf1","Safb"
"Abcf1","Zc3h18"
"Abcf1","Zc3h4"
"Abi1","Acap2"
"Abi1","Acly"
"Abi1","Aldh1l1"
"Abi1","Cops2"
"Abi1","Cops3"
"Abi1","Cops4"
"Abi1","Cops5"
"Abi1","Cops6"
"Abi1","Cops7a"
"Abi1","Cops8"
"Abi1","Cpsf6"
"Abi1","Cryab"
"Abi1","Cyfip1"
"Abi1","Dag1"
"Abi1","Epb41l2"
"Abi1","Fam129a"
"Abi1","Gps1"
"Abi1","Hdlbp"
"Abi1","Impdh1"
"Abi1","Nckap1"
"Abi1","Ogfr"
"Abi1","Prmt1"
"Abi1","Tpm1"
"Abi1","Tpm4"
"Abi1","Txndc5"
"Abi1","Usp47"
"Abi1","Wasl"
"Abi1","Wdr44"
"Abi3bp","Ahnak"
"Abi3bp","Ddx1"
"Abi3bp","Ddx5"
"Abi3bp","Gm16477"
"Abi3bp","Hist1h4a"
"Abi3bp","Macf1"
"Abi3bp","Map1a"
"Abi3bp","Mvp"
"Abi3bp","Pds5a"
"Abi3bp","Rpl10"
"Abi3bp","Rpl10a"
"Abi3bp","Rpl12"
"Abi3bp","Rpl13"
"Abi3bp","Rpl14"
"Abi3bp","Rpl17"
"Abi3bp","Rpl18"
"Abi3bp","Rpl19"
"Abi3bp","Rpl27a"
"Abi3bp","Rpl28"
"Abi3bp","Rpl3"
"Abi3bp","Rpl32"
"Abi3bp","Rpl4"
"Abi3bp","Rpl6"
"Abi3bp","Rpl7"
"Abi3bp","Rpl8"
"Abi3bp","Rplp0"
"Abi3bp","Rplp2"
"Abi3bp","Zc3h18"
"Abr","Ager"
"Abr","Fam129b"
"Abraxas2","Babam2"
"Abraxas2","Eef1b"
"Abraxas2","Eef1g"
"Abraxas2","Eif2b3"
"Abraxas2","Rock1"
"Acaa2","Acad9"
"Acaa2","Acadl"
"Acaa2","Acat2"
"Acaa2","Acat3"
"Acaa2","Acot9"
"Acaa2","Afm"
"Acaa2","Ahcy"
"Acaa2","Aldh2"
"Acaa2","Aldh5a1"
"Acaa2","Aldh7a1"
"Acaa2","Aldoc"
"Acaa2","Arpc1b"
"Acaa2","Atic"
"Acaa2","Atpaf1"
"Acaa2","C3"
"Acaa2","Capn2"
"Acaa2","Capn8"
"Acaa2","Cat"
"Acaa2","Cse1l"
"Acaa2","Dcps"
"Acaa2","Dek"
"Acaa2","Eps8l2"
"Acaa2","F2"
"Acaa2","Fblim1"
"Acaa2","Fbp2"
"Acaa2","Fh"
"Acaa2","G6pdx"
"Acaa2","Gclm"
"Acaa2","Gss"
"Acaa2","Hibadh"
"Acaa2","Idh2"
"Acaa2","Ifit3"
"Acaa2","Ivd"
"Acaa2","Ldhb"
