"protein_A","protein_B"
"0610010K14Rik","Agl"
"0610010K14Rik","Aimp1"
"0610010K14Rik","Ckap5"
"0610010K14Rik","Ddx21"
"0610010K14Rik","Decr1"
"0610010K14Rik","Dlat"
"0610010K14Rik","Eea1"
"0610010K14Rik","Eef1e1"
"0610010K14Rik","Eif2s1"
"0610010K14Rik","Eif2s2"
"0610010K14Rik","Eif3a"
"0610010K14Rik","Eif3c"
"0610010K14Rik","Eif3h"
"0610010K14Rik","Eif3i"
"0610010K14Rik","Eif3k"
"0610010K14Rik","Eif3l"
"0610010K14Rik","Farsb"
"0610010K14Rik","Gm7729"
"0610010K14Rik","Gm9493"
"0610010K14Rik","Ilf2"
"0610010K14Rik","Kars"
"0610010K14Rik","Pa2g4"
"0610010K14Rik","Ptbp1"
"0610010K14Rik","Qars"
"0610010K14Rik","Rars"
"0610010K14Rik","Rpl10"
"0610010K14Rik","Rpl11"
"0610010K14Rik","Rpl13"
"0610010K14Rik","Rpl17"
"0610010K14Rik","Rpl19"
"0610010K14Rik","Rpl22"
"0610010K14Rik","Rpl23a"
"0610010K14Rik","Rpl27"
"0610010K14Rik","Rplp1"
"0610010K14Rik","Rplp2"
"0610010K14Rik","Rps13"
"0610010K14Rik","Rrbp1"
"0610010K14Rik","Sfpq"
"0610010K14Rik","Srsf1"
"2310035C23Rik","Atg16l1"
"2310035C23Rik","Cct2"
"2310035C23Rik","Cct3"
"2310035C23Rik","Cct4"
"2310035C23Rik","Cct5"
"2310035C23Rik","Cct6a"
"2310035C23Rik","Cct6b"
"2310035C23Rik","Cct7"
"2310035C23Rik","Cct8"
"2310035C23Rik","Hgs"
"2310035C23Rik","Pcca"
"2310035C23Rik","Pccb"
"2310035C23Rik","Psma2"
"2310035C23Rik","Psma4"
"2310035C23Rik","Psmb7"
"2310035C23Rik","Tcp1"
"2310035C23Rik","Vcp"
"4931406C07Rik","Acaa1b"
"4931406C07Rik","Acaa2"
"4931406C07Rik","Aco1"
"4931406C07Rik","Acss2"
"4931406C07Rik","Adh1"
"4931406C07Rik","Afm"
"4931406C07Rik","Aldh7a1"
"4931406C07Rik","Arpc1b"
"4931406C07Rik","Arpc4"
"4931406C07Rik","Asna1"
"4931406C07Rik","Asrgl1"
"4931406C07Rik","Ass1"
"4931406C07Rik","Bhmt"
"4931406C07Rik","C3"
"4931406C07Rik","Ca3"
"4931406C07Rik","Cfl1"
"4931406C07Rik","Clec3b"
"4931406C07Rik","Cps1"
"4931406C07Rik","Ctsa"
"4931406C07Rik","Dstn"
"4931406C07Rik","Ech1"
"4931406C07Rik","Echs1"
"4931406C07Rik","Eef1a1"
"4931406C07Rik","Eef2"
