"protein_A","protein_B"
"AAC3","RPL27B"
"AAC3","RPL4B"
"AAC3","RPP0"
"AAC3","SSA2"
"AAC3","SSB1"
"AAC3","TEF2"
"AAC3","TUB1"
"AAH1","YBR280C"
"AAP1","AAP1'"
"AAP1","SSA2"
"AAP1'","APA1"
"AAP1'","DPH5"
"AAP1'","HXT7"
"AAP1'","LAG1"
"AAP1'","PDR15"
"AAP1'","PEP3"
"AAP1'","SYS1"
"AAR2","GCN2"
"AAR2","NHP2"
"AAR2","PRP8"
"AAR2","SMB1"
"AAR2","SNU114"
"AAT1","HSP60"
"AAT1","SSA2"
"AAT1","URA2"
"ABC1","SSA1"
"ABD1","PAB1"
"ABD1","RPB2"
"ABD1","RPL10"
"ABD1","RPL4A"
"ABD1","RPL7B"
"ABD1","SPT5"
"ABD1","SSA2"
"ABD1","SSB1"
"ABF1","HHF2"
"ABF1","HMO1"
"ABF1","HTA2"
"ABF1","HTB1"
"ABF1","IMD2"
"ABF1","ISW2"
"ABF1","MOT1"
"ABF1","PRP21"
"ABF1","RPC34"
"ABF1","RPC40"
"ABF1","RPC53"
"ABF1","RPC82"
"ABF1","RPO31"
"ABF1","RSC8"
"ABF1","RVB1"
"ABF1","RVB2"
"ABF1","SSA1"
"ABF1","SSA2"
"ABF1","SSB1"
"ABF1","STH1"
"ABF1","TAF5"
"ABF1","TEF2"
"ABF1","URA2"
"ABF1","VMA2"
"ABF1","VPS1"
"ABF2","ACT1"
"ABF2","HHF2"
"ABF2","ISW1"
"ABF2","IXR1"
"ABF2","MOT1"
"ABF2","MSN2"
"ABF2","NHP6A"
"ABF2","PDR1"
"ABF2","PSA1"
"ABF2","RPS0B"
"ABF2","RSC3"
"ABF2","RSC6"
"ABF2","RSC8"
"ABF2","RTG1"
"ABF2","RVB1"
"ABF2","SIN3"
"ABF2","SNF5"
"ABF2","SSA2"
"ABF2","SSB1"
"ABF2","SWI3"
"ABF2","TAF5"
"ABF2","TEF2"
"ABF2","TOP1"
"ABF2","URA2"
"ABF2","VIP1"
"ABF2","VMA2"
"ABF2","VPS1"
"ABP1","ACT1"
"ABP1","SSB1"
"ABP140","ACT1"
"ABP140","ADH1"
"ABP140","ALG11"
"ABP140","ATP2"
"ABP140","CDC19"
"ABP140","CHC1"
"ABP140","CRN1"
"ABP140","EFT2"
"ABP140","FAS2"
"ABP140","GCN1"
"ABP140","PDB1"
"ABP140","PSA1"
"ABP140","RPL20B"
"ABP140","RPL27B"
"ABP140","RPL5"
"ABP140","RPP0"
"ABP140","RPS11A"
"ABP140","RPS3"
"ABP140","RPS4B"
"ABP140","RVB2"
"ABP140","SSA2"
"ABP140","SSB1"
"ABP140","TEF1"
"ABP140","TEF2"
"ABP140","TUB2"
"ABP140","UFD4"
"ABP140","URA2"
"ABP140","VMA2"
"ABZ1","MPA43"
"ABZ1","SSA2"
"ABZ1","TDH3"
"ABZ1","TEF1"
"ACC1","APA1"
"ACC1","CCT5"
"ACC1","CMK1"
"ACC1","MAE1"
"ACC1","MFT1"
"ACC1","MRPL22"
"ACC1","NPR1"
"ACC1","PSA1"
"ACC1","SIT4"
"ACC1","SSA2"
"ACC1","SSB1"
"ACC1","SSK1"
"ACC1","SYS1"
"ACC1","TEF1"
"ACC1","TEF2"
"ACC1","TUB2"
"ACC1","VMA2"
"ACO1","ADH3"
"ACO1","APE2"
"ACO1","ECM39"
"ACO1","FAA4"
"ACO1","ILV3"
"ACO1","PHO86"
"ACO1","SAM1"
"ACO1","SEC16"
"ACO1","YHB1"
"ACP1","ERV25"
"ACS2","ASC1"
"ACS2","CDC19"
"ACS2","CMK1"
"ACS2","COP1"
"ACS2","DBP8"
"ACS2","EFT2"
"ACS2","GPM1"
"ACS2","HSP60"
"ACS2","KAP123"
"ACS2","MDN1"
"ACS2","PSA1"
"ACS2","RNR1"
"ACS2","RPB2"
"ACS2","RPL5"
"ACS2","RPN1"
"ACS2","RPP0"
"ACS2","RPS0A"
"ACS2","RPS3"
"ACS2","RVB1"
"ACS2","SAM1"
"ACS2","SAM2"
"ACS2","SEC27"
"ACS2","SSA2"
"ACS2","SSB1"
"ACS2","SSC1"
"ACS2","SSE1"
"ACS2","TDH3"
"ACS2","TEF1"
"ACS2","TEF2"
"ACS2","TUB1"
"ACS2","TUB2"
"ACS2","TUB3"
"ACS2","URA2"
"ACS2","VMA2"
"ACS2","VPS33"
"ACS2","YBR025C"
"ACS2","YEF3"
"ACT1","ARO3"
"ACT1","ARP5"
"ACT1","ARP7"
"ACT1","CAF17"
"ACT1","CCT7"
"ACT1","CDC46"
"ACT1","CHS2"
"ACT1","CYR1"
"ACT1","DBP8"
"ACT1","DOC1"
"ACT1","EPL1"
"ACT1","ERG13"
"ACT1","ESA1"
"ACT1","FUR4"
"ACT1","GEA1"
"ACT1","IES1"
"ACT1","IMG1"
"ACT1","INO80"
"ACT1","IXR1"
"ACT1","MGS1"
"ACT1","MPA43"
"ACT1","MYO1"
"ACT1","MYO4"
"ACT1","MYO5"
"ACT1","NHP10"
"ACT1","NHP6A"
"ACT1","NPR1"
"ACT1","PBS2"
"ACT1","PHB2"
"ACT1","PWP1"
"ACT1","RNA14"
"ACT1","RPS0A"
"ACT1","RVB1"
"ACT1","SAC6"
"ACT1","SBA1"
"ACT1","SEC2"
"ACT1","SMI1"
"ACT1","SRV2"
"ACT1","SSK1"
"ACT1","SST2"
"ACT1","SUT1"
"ACT1","TIP41"
"ACT1","VPS71"
"ACT1","YCP4"
"ACT1","YGR026W"
"ACT1","YJL207C"
"ACT1","YKL100C"
"ACT1","YLR454W"
"ACT1","YNL108C"
"ACT1","YNR029C"
"ACT1","YPR125W"
"ADA2","GCN5"
"ADA2","HFI1"
"ADA2","KAP123"
"ADA2","MED1"
"ADA2","MED7"
"ADA2","MSP1"
"ADA2","NGG1"
"ADA2","PSA1"
