"protein_A","protein_B"
"0610009B22Rik","Chdh"
"0610009B22Rik","Eif4a3"
"0610009B22Rik","Fmr1"
"0610009B22Rik","Lman1"
"0610009B22Rik","Rab18"
"0610009B22Rik","Rab5b"
"0610009B22Rik","Snx3"
"0610009B22Rik","Wdr18"
"1810009A15Rik","Rpl13a"
"1810009A15Rik","Rpl3"
"1810009A15Rik","Rpl39"
"1810009A15Rik","Rpl7"
"2310035C23Rik","Actn1"
"2310035C23Rik","Actn4"
"2310035C23Rik","Akap8l"
"2310035C23Rik","Atg16l1"
"2310035C23Rik","Atg5"
"2310035C23Rik","Cul4a"
"2310035C23Rik","Cul4b"
"2310035C23Rik","Dag1"
"2310035C23Rik","Ddb1"
"2310035C23Rik","Fasn"
"2310035C23Rik","Gys1"
"2310035C23Rik","Gys2"
"2310035C23Rik","Htatsf1"
"2310035C23Rik","Kif21a"
"2310035C23Rik","Mccc1"
"2310035C23Rik","Mccc2"
"2310035C23Rik","Prmt5"
"2310035C23Rik","Sepsecs"
"2310035C23Rik","Sept11"
"2310035C23Rik","Sept2"
"2310035C23Rik","Sept7"
"2310035C23Rik","Sept8"
"2310035C23Rik","Sparcl1"
"2310035C23Rik","Srp14"
"2310035C23Rik","Srp19"
"2310035C23Rik","Srp68"
"2310035C23Rik","Srp72"
"2310035C23Rik","Srp9"
"2310035C23Rik","Stub1"
"2310035C23Rik","Usp19"
"4931406C07Rik","Aacs"
"4931406C07Rik","Acat1"
"4931406C07Rik","Aco1"
"4931406C07Rik","Aco2"
"4931406C07Rik","Acot12"
"4931406C07Rik","Actb"
"4931406C07Rik","Acy3"
"4931406C07Rik","Adh1"
"4931406C07Rik","Ahnak"
"4931406C07Rik","Akr1c21"
"4931406C07Rik","Akr7a2"
"4931406C07Rik","Aldh1a1"
"4931406C07Rik","Aldh1a7"
"4931406C07Rik","Arrb1"
"4931406C07Rik","Cacybp"
"4931406C07Rik","Capza2"
"4931406C07Rik","Capzb"
"4931406C07Rik","Cfl1"
"4931406C07Rik","Ciapin1"
"4931406C07Rik","Cndp2"
"4931406C07Rik","Crot"
"4931406C07Rik","Cstb"
"4931406C07Rik","Dstn"
"4931406C07Rik","Echs1"
"4931406C07Rik","Eci2"
"4931406C07Rik","Eef2"
"4931406C07Rik","Ehhadh"
"4931406C07Rik","Fah"
"4931406C07Rik","Fam129b"
"4931406C07Rik","Fkbp4"
"4931406C07Rik","Gbp9"
"4931406C07Rik","Gda"
"4931406C07Rik","Gga1"
"4931406C07Rik","Gk"
"4931406C07Rik","Glrx3"
"4931406C07Rik","Gm9755"
"4931406C07Rik","Gmps"
"4931406C07Rik","Gpd1"
"4931406C07Rik","Gstm5"
"4931406C07Rik","Haao"
"4931406C07Rik","Hagh"
"4931406C07Rik","Hmgcl"
"4931406C07Rik","Hrg"
"4931406C07Rik","Hspa1a"
"4931406C07Rik","Hspa9"
"4931406C07Rik","Hspd1"
"4931406C07Rik","Iah1"
"4931406C07Rik","Impa1"
"4931406C07Rik","Khsrp"
"4931406C07Rik","Mapk14"
"4931406C07Rik","Mapt"
"4931406C07Rik","Mpp6"
"4931406C07Rik","Mtap"
"4931406C07Rik","Ndrg1"
"4931406C07Rik","Nudt19"
"4931406C07Rik","Otub1"
"4931406C07Rik","Pdia6"
"4931406C07Rik","Pdk2"
"4931406C07Rik","Pfn2"
"4931406C07Rik","Phgdh"
"4931406C07Rik","Pipox"
"4931406C07Rik","Ppa1"
"4931406C07Rik","Ppa2"
"4931406C07Rik","Ppm1b"
"4931406C07Rik","Ppp1cb"
"4931406C07Rik","Prdx2"
"4931406C07Rik","Prdx3"
"4931406C07Rik","Prdx5"
"4931406C07Rik","Pter"
"4931406C07Rik","Ptpn6"
"4931406C07Rik","Pygm"
"4931406C07Rik","Rap1gds1"
"4931406C07Rik","Rnh1"
"4931406C07Rik","Scp2"
"4931406C07Rik","Selenbp1"
"4931406C07Rik","Serpinb6"
"4931406C07Rik","Serpinb6a"
"4931406C07Rik","Skp1"
"4931406C07Rik","Slc25a5"
"4931406C07Rik","Spr"
"4931406C07Rik","Sucla2"
"4931406C07Rik","Tpi1"
"4931406C07Rik","Tuba4a"
"4931406C07Rik","Tubb2a"
"4931406C07Rik","Tufm"
"4931406C07Rik","Txn"
"4931406C07Rik","Ugdh"
"4931406C07Rik","Vil1"
"4931406C07Rik","Ywhaq"
"9030624J02Rik","AU022252"
"9030624J02Rik","Cap1"
"9030624J02Rik","Ccdc22"
"9030624J02Rik","Ccdc93"
"9030624J02Rik","Commd1"
"9030624J02Rik","Commd10"
"9030624J02Rik","Commd2"
"9030624J02Rik","Commd4"
"9030624J02Rik","Commd5"
"9030624J02Rik","Commd6"
"9030624J02Rik","Commd7"
"9030624J02Rik","Commd8"
"9030624J02Rik","Commd9"
"9030624J02Rik","Dscr3"
"9030624J02Rik","Fam45a"
"9030624J02Rik","Fkbp5"
