"protein_A","protein_B"
"2310035C23Rik","Acacb"
"2310035C23Rik","Cald1"
"2310035C23Rik","Camk2b"
"2310035C23Rik","Camk2g"
"2310035C23Rik","Cct2"
"2310035C23Rik","Cct3"
"2310035C23Rik","Cct4"
"2310035C23Rik","Cct5"
"2310035C23Rik","Cct6a"
"2310035C23Rik","Cct6b"
"2310035C23Rik","Cct7"
"2310035C23Rik","Cct8"
"2310035C23Rik","Eif4g1"
"2310035C23Rik","Eif4g3"
"2310035C23Rik","Gys1"
"2310035C23Rik","Hspg2"
"2310035C23Rik","Kif5b"
"2310035C23Rik","Kif5c"
"2310035C23Rik","Lmna"
"2310035C23Rik","Ppp4r2"
"2310035C23Rik","Ppp4r3a"
"2310035C23Rik","Sept11"
"2310035C23Rik","Sept2"
"2310035C23Rik","Sept4"
"2310035C23Rik","Sept5"
"2310035C23Rik","Sept6"
"2310035C23Rik","Sept7"
"2310035C23Rik","Sept8"
"2310035C23Rik","Tcp1"
"2310035C23Rik","Txndc9"
"2310035C23Rik","Vcp"
"4931406C07Rik","Actc1"
"4931406C07Rik","Aldh1l1"
"4931406C07Rik","Comt"
"4931406C07Rik","Ctsd"
"4931406C07Rik","Gstt1"
"4931406C07Rik","Lactb2"
"4931406C07Rik","Map2k1"
"4931406C07Rik","Mtpn"
"4931406C07Rik","Mylpf"
"4931406C07Rik","Pdap1"
"4931406C07Rik","Sds"
"4931406C07Rik","Tkt"
"A2m","Actc1"
"A2m","Arcn1"
"A2m","Cct2"
"A2m","Cct3"
"A2m","Cct4"
"A2m","Cct5"
"A2m","Cct6a"
"A2m","Cct7"
"A2m","Cct8"
"A2m","Cope"
"A2m","Copg2"
"A2m","Eif4g1"
"A2m","Hook3"
"A2m","Lmna"
"A2m","Mb"
"A2m","Pcca"
"A2m","Pccb"
"A2m","Sec13"
"A2m","Sec31a"
"A2m","Sf3a1"
"A2m","Stub1"
"A2m","Tcp1"
"Aacs","Actc1"
"Aacs","H1f0"
"Aacs","Mb"
"Aacs","Myl2"
"Aacs","Nebl"
"Aacs","Otub1"
"Aacs","Puf60"
"Aacs","Tnni3"
"Aamp","Actr2"
"Aamp","Actr3"
"Aamp","Agl"
"Aamp","Aldh1a2"
"Aamp","Arpc1a"
"Aamp","Arpc2"
"Aamp","Arpc3"
"Aamp","Arpc4"
"Aamp","Btf3l4"
"Aamp","Cfdp1"
"Aamp","Coro1a"
"Aamp","Coro1c"
"Aamp","Coro7"
"Aamp","Creld2"
"Aamp","Cul1"
"Aamp","Dazap1"
"Aamp","Drg2"
"Aamp","Efl1"
"Aamp","Egfr"
"Aamp","Fuom"
"Aamp","Gmpr2"
"Aamp","Gpld1"
"Aamp","Hars"
"Aamp","Hmgcs1"
"Aamp","Ifit3"
"Aamp","Ipo5"
"Aamp","Kiaa0513"
"Aamp","Kpna3"
"Aamp","Lpp"
"Aamp","Naa15"
"Aamp","Nars"
"Aamp","Nfs1"
"Aamp","Osgep"
"Aamp","P4hb"
"Aamp","Pcyt2"
"Aamp","Pde12"
"Aamp","Picalm"
"Aamp","Pklr"
"Aamp","Pkm"
"Aamp","Ppp2r5d"
"Aamp","Prkaa2"
"Aamp","Psmd9"
"Aamp","Rad23a"
"Aamp","Rcn1"
"Aamp","Rnf14"
"Aamp","Rwdd1"
"Aamp","Serpina10"
"Aamp","Srsf5"
"Aamp","Ssb"
"Aamp","Suox"
"Aamp","U2af1"
"Aamp","U2af2"
"Aamp","Uba2"
"Aamp","Uba6"
"Aamp","Uba7"
"Aamp","Ube3a"
"Aamp","Xpnpep1"
"Aamp","Znf207"
"Aamp","Zranb2"
"Aars","Aarsd1"
"Aars","Actc1"
"Aars","Adsl"
"Aars","Ahcyl1"
"Aars","Anp32a"
"Aars","Anp32e"
"Aars","Armc1"
"Aars","C7"
"Aars","Coro1a"
"Aars","Coro1b"
"Aars","Coro7"
"Aars","Dbnl"
"Aars","Dpp9"
"Aars","Dpyd"
"Aars","Dpysl2"
"Aars","Dpysl4"
"Aars","Elac2"
"Aars","Entpd5"
"Aars","Epm2aip1"
"Aars","Ero1a"
"Aars","F10"
"Aars","Fnta"
"Aars","Ggps1"
"Aars","Gls"
"Aars","Gnpda1"
"Aars","H6pd"
"Aars","Hacl1"
"Aars","Hmgcs1"
"Aars","Hnrnpab"
"Aars","Hsd17b10"
"Aars","Ighg1"
"Aars","Kars"
"Aars","Klkb1"
"Aars","Lap3"
"Aars","Me1"
"Aars","Mtr"
"Aars","Nedd4"
"Aars","Ogdhl"
"Aars","Parvb"
"Aars","Pex19"
"Aars","Pfdn1"
"Aars","Pfdn2"
"Aars","Pfdn4"
"Aars","Pfdn5"
"Aars","Pfdn6"
"Aars","Ppp1r11"
"Aars","Ppp1r7"
"Aars","Ppp2r5a"
"Aars","Prkab1"
"Aars","Rad23b"
"Aars","Rasa1"
"Aars","Rpa1"
"Aars","Rpa3"
"Aars","Rpl5"
"Aars","Rsu1"
"Aars","Sae1"
"Aars","Sars"
"Aars","Shmt1"
"Aars","Srrt"
"Aars","St13"
"Aars","Stat1"
"Aars","Stat5b"
"Aars","Tsc22d3"
"Aars","Ttll12"
"Aars","Usp5"
"Aars","Vbp1"
"Aars","Xdh"
"Aarsd1","Actc1"
"Aarsd1","Adsl"
"Aarsd1","Ahcyl1"
"Aarsd1","Apobec2"
"Aarsd1","C7"
"Aarsd1","Casq2"
"Aarsd1","Coro1a"
"Aarsd1","Coro1b"
"Aarsd1","Csrp3"
"Aarsd1","Dbnl"
"Aarsd1","Dpysl2"
"Aarsd1","Eci1"
"Aarsd1","Eci2"
"Aarsd1","Elac2"
"Aarsd1","Epm2aip1"
"Aarsd1","Etfb"
"Aarsd1","Fnta"
"Aarsd1","Ggps1"
"Aarsd1","Gls"
"Aarsd1","Hsd17b10"
"Aarsd1","Ighg1"
"Aarsd1","Kars"
"Aarsd1","Lap3"
"Aarsd1","Ldb3"
"Aarsd1","Lztfl1"
"Aarsd1","Mb"
"Aarsd1","Mybpc3"
"Aarsd1","Nrd1"
"Aarsd1","Nt5dc3"
"Aarsd1","Ogdhl"
"Aarsd1","Pex19"
"Aarsd1","Pfdn1"
"Aarsd1","Pfdn2"
"Aarsd1","Pfdn5"
"Aarsd1","Ppm1g"
"Aarsd1","Ppme1"
"Aarsd1","Ppp1r7"
"Aarsd1","Ppp2r1a"
"Aarsd1","Ppp2r5a"
"Aarsd1","Rpl5"
"Aarsd1","Sae1"
"Aarsd1","Shmt1"
"Aarsd1","St13"
"Aarsd1","Tnni3"
"Aarsd1","Trim72"
"Aarsd1","Ttll12"
"Aarsd1","Usp5"
"Aarsd1","Yars"
"Aarsd1","Zpr1"
"Aass","Actc1"
"Aass","Iqgap1"
"Abce1","Kpna3"
"Abhd14b","Akr1a1"
"Abhd14b","Gstm1"
"Abhd14b","Pgam2"
"Abhd14b","Pgk1"
"Abraxas2","Acly"
"Abraxas2","Aldh1l2"
"Abraxas2","Ap1b1"
"Abraxas2","Ap1m1"
"Abraxas2","Babam1"
"Abraxas2","Babam2"
"Abraxas2","Brcc3"
"Abraxas2","Ccdc6"
"Abraxas2","Col4a3bp"
"Abraxas2","Cyfip2"
"Abraxas2","Fnbp1"
"Abraxas2","Ogfr"
"Abraxas2","Pir"
"Abraxas2","Prmt1"
"Abraxas2","Sqor"
"Abraxas2","Tpm4"
"Abraxas2","Trip10"
