"protein_A","protein_B"
"aat","rluA"
"aat","yggX"
"abgA","ubiK"
"abpB","mioC"
"abpB","rpmI"
"abpB","yhcO"
"accA","accA"
"accA","accD"
"accA","mlaA"
"accA","potA"
"accA","yhdY"
"accB","accC"
"accC","accC"
"accC","accD"
"accC","cysM"
"accC","leuO"
"accC","ribD"
"accD","bamD"
"accD","fhuF"
"accD","matP"
"accD","minC"
"accD","paaC"
"accD","umuD"
"accD","uspC"
"accD","yhdJ"
"accD","yhdY"
"aceF","lpdA"
"aceK","ada"
"aceK","bioB"
"aceK","cvrA"
"aceK","icd"
"aceK","pbpG"
"aceK","yehX"
"aceK","ygjR"
"acnA","caiD"
"acrA","acrA"
"acrA","mlaB"
"acrA","ytfQ"
"acrR","acrR"
"acrR","argK"
"acrR","astE"
"acrR","bglG"
"acrR","ccmA"
"acrR","evgA"
"acrR","frlR"
"acrR","hdfR"
"acrR","mqsA"
"acrR","pqiC"
"acrR","tolB"
"acrR","tsaB"
"acrR","ybdM"
"acrR","yegL"
"acrR","yibT"
"acrR","yifE"
"acrR","zapC"
"acuI","rpsH"
"ada","eutN"
"ada","hda"
"ada","rpoD"
"adk","ybdL"
"ahpC","ahpC"
"ahpC","frr"
"ahpC","pabC"
"alaC","alaC"
"alaC","metN"
"alaC","ypdE"
"alkB","mqsA"
"alkB","ykgN"
"allC","allS"
"allR","allR"
"allR","caiC"
"alsB","eutC"
"alsB","ydfU"
"alsK","alsK"
"alsK","holA"
"ampE","mqsA"
"ampH","hemN"
"amtB","glnB"
"amtB","glnK"
"amtB","glnL"
"ansB","frr"
"ansB","nrfG"
"ansB","sixA"
"ansB","ubiI"
"apaH","hisB"
"apaH","sfmA"
"apaH","ybgD"
"appY","aroE"
"araC","araC"
"araC","chbR"
"araC","garD"
"araC","lexA"
"araC","rhaS"
"araC","rpoD"
"araC","xerC"
"araC","ybgD"
"araC","yebW"
"araC","ygiL"
"araC","ypdC"
"araG","araG"
"araG","kefF"
"araG","metQ"
"araG","yahK"
"arcB","lolD"
"arcB","yejG"
"argC","ybgD"
"argG","dacB"
"argK","bioD2"
"argK","fhuF"
"argK","minC"
"argK","paaG"
"argK","yajL"
"argK","ybdM"
"argK","yhdJ"
"ariR","holA"
"arnA","crp"
"arnA","fixX"
"aroB","aroB"
"aroB","fixX"
"aroB","ybgD"
"aroB","yeeD"
"aroB","ygiL"
"aroE","trmH"
"aroE","yhdJ"
"aroF","fixX"
"aroF","ygiL"
"aroH","groEL"
"arsR","hyaF"
"artM","artM"
"artP","crp"
"artP","frdB"
"artP","metN"
"artP","nrdD"
"artP","yfbN"
"artP","zapC"
"ascG","ascG"
"ascG","era"
"ascG","fliG"
"ascG","frlR"
"ascG","idnK"
"ascG","matP"
"ascG","mutM"
"ascG","pdxK"
"ascG","priC"
"ascG","sgcA"
"ascG","tolB"
"ascG","yabP"
"ascG","ybdM"
"ascG","ydaG"
"ascG","zapC"
"asnA","asnA"
"asnB","asnB"
"asnC","hchA"
"aspC","aspC"
"asr","matP"
"asr","rspB"
"asr","yibA"
"astC","yegS"
"astE","hdfR"
"astE","ygbT"
"astE","yhdJ"
"atoA","bamD"
"atpA","atpC"
"atpA","atpD"
"atpA","cirA"
"atpA","frr"
"atpA","tfaE"
"atpA","ybeQ"
"atpA","ychH"
"atpA","yhaJ"
"atpA","yhhI"
"atpA","yjiT"
"atpC","atpC"
"atpC","atpD"
"atpC","atpG"
"atpD","elyC"
"atpG","fhuF"
"atpG","glcC"
"atpG","paaX"
"atpG","yhjB"
"atpG","ypjF"
"atpH","cheZ"
"atpH","dnaX"
"atpH","eutC"
"atpH","flgN"
"atpH","paoA"
"atpH","rcnR"
"baeR","baeR"
"baeR","fliT"
"baeR","leuO"
"bamE","ribD"
"barA","clpA"
"bcp","eutN"
"bcsA","rsxG"
"betA","fepC"
"betI","lepA"
"bglB","fecB"
"bglF","rimP"
"bglG","bglG"
"bglG","dnaX"
"bglG","eutC"
"bglG","mltB"
"bglG","yahB"
"bglG","zapC"
"bioB","eutC"
"bioB","priC"
"bioB","proQ"
"bioB","rpmD"
"bioB","rpmE"
"bioB","trpE"
"bioB","yafJ"
"bioB","yedD"
"bioB","ygbT"
"bioB","yqjG"
"bioB","ytfQ"
"bioC","ynfC"
"bioD2","pdxA"
"bioD2","rluE"
"bolA","bolA"
"bolA","hybO"
"bolA","paaC"
"bolA","ptsH"
"bolA","trxB"
"bolA","yehY"
"bolA","yfhL"
"bolA","ygaV"
"bolA","yjhI"
"bolA","yjjW"
"brnQ","pheS"
"bssS","eutC"
"bssS","yhdJ"
"btsR","btsR"
"btsR","metN"
"btsR","proA"
"btsR","sfsA"
"caiB","yjaA"
"caiC","caiC"
"caiF","crp"
"caiF","mtfA"
"caiF","nikR"
"caiF","sgbE"
"carA","carB"
"carA","yejG"
"carB","carB"
"casA","yggL"
"cbeA","frr"
"cbeA","murE"
"cbeA","pdxK"
"cbpA","dnaK"
"ccmA","yhcO"
"cdd","cdd"
"cdd","eutN"
"cdgI","zapC"
"cecR","cecR"
"cecR","hypF"
"cecR","ubiH"
"chbR","chbR"
"chbR","lexA"
"chbR","rhaR"
"chbR","rhaS"
"chbR","rpoD"
"chbR","ypdC"
"cheR","epmB"
"cheR","fliI"
"cheR","rpoE"
"cheW","tsr"
"cheW","yhdJ"
"cheZ","mutM"
"cho","glcC"
"citC","hybO"
"citC","ubiH"
"citC","yaiI"
"citC","ykgN"
"citE","fhuF"
"citE","ilvY"
"citE","lrp"
"citE","minC"
"citE","mqsA"
"citE","paaG"
"citE","ykgN"
"citX","glcC"
"citX","thiF"
"citX","ykgN"
"clpA","fixX"
"clpA","insN1"
"clpA","mqsA"
"clpA","yeiW"
"clpB","yeeD"
"clpB","ynfC"
"clpP","clpP"
"clpS","yhhA"
"clpX","clpX"
"clsC","fic"
"cmk","minC"
"cmk","pldB"
"cmk","proQ"
"cobB","cobB"
"cobB","sxy"
"codA","codA"
"cpdA","fixX"
"cpdA","yidF"
"cpoB","glcC"
"cpoB","yhdJ"
"cpxA","cpxR"
"cpxA","paaX"
"cpxR","lysA"
"cra","cra"
"cra","miaA"
"creA","insN2"
"creB","creB"
"creB","creC"
"creB","hypE"
"creB","xylH"
"crl","rpoS"
"crp","cyaA"
"crp","cytR"
"crp","entD"
"crp","eptB"
"crp","frlR"
"crp","gcvA"
"crp","hemW"
"crp","hslR"
"crp","hyfR"
"crp","lysR"
"crp","malT"
"crp","matP"
"crp","mltB"
"crp","mtlR"
"crp","nusG"
"crp","priC"
"crp","rpoD"
"crp","rraA"
"crp","sufS"
"crp","wecF"
"crp","yacL"
"crp","yfgD"
"crp","yhcA"
"crp","yibA"
"crp","yiiR"
"crp","zapC"
"csdA","csdA"
"csdA","csdE"
"csgD","csgD"
"cspA","proQ"
"cspA","rhlE"
"cspC","cspC"
"cspD","dppD"
"csrA","gmhB"
"csrA","ybaM"
"csrA","ybgP"
"cusB","rplR"
"cusR","cusR"
"cusR","hprR"
"cusS","yfcJ"
"cutA","fliK"
"cyaA","dhaM"
"cyaA","helD"
"cyaA","ilvY"
"cyaA","mqsA"
"cyaA","prlF"
"cyaA","trpE"
"cyaA","yafJ"
"cyaA","ydcJ"
"cyaA","yhdJ"
"cyaY","minE"
"cyaY","yfcQ"
"cyoB","ybdL"
"cysA","proA"
"cysB","cysB"
"cysB","yciW"
"cysD","cysN"
"cysJ","cysJ"
"cysJ","ycbX"
"cysK","metN"
"cysM","hydN"
"cysM","mglA"
"cysM","oppF"
"cysM","proQ"
"cysM","pxpC"
"cysM","sfmA"
