"protein_A","protein_B"
"Acaa2","Uba1"
"Acaa2","Vcl"
"Acaa2","Xpnpep1"
"Acaa2","Ywhab"
"Acaa2","Ywhae"
"Acaa2","Ywhag"
"Acaa2","Ywhaq"
"Acaa2","Ywhaz"
"Acaca","Camk2a"
"Acaca","Cct2"
"Acaca","Cct3"
"Acaca","Cct4"
"Acaca","Cct5"
"Acaca","Cct6a"
"Acaca","Cct7"
"Acaca","Cct8"
"Acaca","Gyg"
"Acaca","Kif5b"
"Acaca","Kif5c"
"Acaca","Lmna"
"Acaca","Lonp1"
"Acaca","Pcca"
"Acaca","Pccb"
"Acaca","Ppp4r2"
"Acaca","Ppp4r3a"
"Acaca","Pzp"
"Acaca","Snx9"
"Acaca","Srp14"
"Acaca","Tcp1"
"Acaca","Tln1"
"Acaca","Vcp"
"Acad8","Basp1"
"Acad9","Sparcl1"
"Acadl","Acadm"
"Acadl","Acat3"
"Acadl","Ahcy"
"Acadl","Aldh2"
"Acadl","Aldh7a1"
"Acadl","Aldoa"
"Acadl","Arpc1b"
"Acadl","Atic"
"Acadl","Atp5b"
"Acadl","C3"
"Acadl","Cacybp"
"Acadl","Capn2"
"Acadl","Capns1"
"Acadl","Cbs"
"Acadl","Cfap36"
"Acadl","Ckb"
"Acadl","Dcps"
"Acadl","Dtd1"
"Acadl","Eif5"
"Acadl","Etnppl"
"Acadl","Fh"
"Acadl","G6pdx"
"Acadl","Gclc"
"Acadl","Gclm"
"Acadl","Gga1"
"Acadl","Glud1"
"Acadl","Gmds"
"Acadl","Gss"
"Acadl","Hibadh"
"Acadl","Hk1"
"Acadl","Ivd"
"Acadl","Ldha"
"Acadl","Ldhb"
"Acadl","Mpp6"
"Acadl","Mvd"
"Acadl","Nae1"
"Acadl","Ndrg3"
"Acadl","Nedd8"
"Acadl","Ola1"
"Acadl","Pafah1b1"
"Acadl","Pcna"
"Acadl","Pcx"
"Acadl","Pcyt2"
"Acadl","Pdcd6ip"
"Acadl","Pdia4"
"Acadl","Pdlim1"
"Acadl","Pfas"
"Acadl","Plpbp"
"Acadl","Ptma"
"Acadl","Pygl"
"Acadl","Pygm"
"Acadl","Rdx"
"Acadl","Rwdd1"
"Acadl","Serpinf2"
"Acadl","Suox"
"Acadl","Swap70"
"Acadl","Tbcb"
"Acadl","Tgm2"
"Acadl","Timm10"
"Acadl","Timm9"
"Acadl","Trnt1"
"Acadl","Txnrd1"
"Acadl","Uba1"
"Acadl","Uba3"
"Acadl","Vcl"
"Acadl","Xpnpep1"
"Acadl","Ywhab"
"Acadl","Ywhae"
"Acadl","Ywhag"
"Acadl","Ywhah"
"Acadl","Ywhaq"
"Acadl","Ywhaz"
"Acadm","Acy1"
"Acadm","Ahcy"
"Acadm","Aldoa"
"Acadm","Atic"
"Acadm","Capns1"
"Acadm","Cbs"
"Acadm","Cfap36"
"Acadm","Dcps"
"Acadm","Ech1"
"Acadm","Eef2"
"Acadm","Eno2"
"Acadm","Etnppl"
"Acadm","Fh"
"Acadm","G6pdx"
"Acadm","Gc"
"Acadm","Gclc"
"Acadm","Gclm"
"Acadm","Glud1"
"Acadm","Gss"
"Acadm","Hibadh"
"Acadm","Hk1"
"Acadm","Ivd"
"Acadm","Ldhb"
"Acadm","Mvd"
"Acadm","Ola1"
"Acadm","Pafah1b1"
"Acadm","Pdia4"
"Acadm","Plpbp"
"Acadm","Snap29"
"Acadm","Sncb"
"Acadm","Tgm2"
"Acadm","Timm10"
"Acadm","Trnt1"
"Acadm","Txnrd1"
"Acadm","Uba3"
"Acadm","Vcl"
"Acadm","Ywhab"
"Acadm","Ywhae"
"Acadm","Ywhag"
"Acadm","Ywhah"
"Acadm","Ywhaq"
"Acadm","Ywhaz"
"Acads","Arpc1a"
"Acads","Arpc5"
"Acads","Kiaa0513"
"Acads","Plaa"
"Acadvl","Iqsec1"
"Acadvl","Pip5k1c"
"Acan","Ddx3x"
"Acan","Tmod2"
"Acap2","Cryab"
"Acap2","Dnm3"
"Acap3","Trip10"
"Acat1","Agl"
"Acat1","Ak1"
"Acat1","Aldh1a1"
"Acat1","Aldh2"
"Acat1","Anp32e"
"Acat1","Arpc1a"
"Acat1","Arpc5l"
"Acat1","Asrgl1"
"Acat1","Cand1"
"Acat1","Capzb"
"Acat1","Cat"
"Acat1","Cfdp1"
"Acat1","Coro1c"
"Acat1","Dld"
"Acat1","Dpysl4"
"Acat1","Dpysl5"
"Acat1","Echs1"
"Acat1","Eef2"
"Acat1","Erp44"
"Acat1","Fnta"
"Acat1","Fntb"
