"protein_A","protein_B"
"AAC1","TIM10"
"AAD6","YNL201C"
"ABP1","ACT1"
"ABP1","RVS167"
"ABP1","SRV2"
"ACC1","DMC1"
"ACC1","SNP1"
"ACE2","YNL157W"
"ACS2","SNP1"
"ACT1","AIP1"
"ACT1","AIP2"
"ACT1","BEM1"
"ACT1","BNI1"
"ACT1","BUD6"
"ACT1","CAP2"
"ACT1","COF1"
"ACT1","FUS1"
"ACT1","GLK1"
"ACT1","IQG1"
"ACT1","LAS17"
"ACT1","MYO4"
"ACT1","OYE2"
"ACT1","PFY1"
"ACT1","RPP2B"
"ACT1","RVS167"
"ACT1","SAC6"
"ACT1","SLA2"
"ACT1","SRV2"
"ACT1","TPM2"
"ACT1","TWF1"
"ACT1","VAC8"
"ACT1","VRP1"
"ADA2","ADR1"
"ADA2","CDC36"
"ADA2","GAL4"
"ADA2","GCN5"
"ADA2","HFI1"
"ADA2","NGG1"
"ADA2","PCF11"
"ADA2","SPT15"
"ADA2","SPT20"
"ADA2","SPT3"
"ADA2","SPT7"
"ADA2","SPT8"
"ADA2","TAF17"
"ADA2","TAF25"
"ADA2","TAF60"
"ADA2","TAF61"
"ADA2","TAF90"
"ADA2","TRA1"
"ADE2","RAD18"
"ADE2","SED4"
"ADE2","YBR134W"
"ADE6","YLR386W"
"ADE8","MED4"
"ADE8","SOH1"
"ADE8","YCR063W"
"ADH1","TUB1"
"ADH2","YFL043C"
"ADP1","YCK2"
"ADR1","GCN5"
"ADR1","PPT1"
"ADR1","SPT15"
"ADY1","HRR25"
"ADY1","SPO13"
"ADY1","YIL007C"
"AFG3","YTA12"
"AFR1","CDC12"
"AFR1","IQG1"
"AHC1","PRP9"
"AHC1","YCR082W"
"AIP1","APC9"
"AIP1","COF1"
"AIP2","BEM1"
"AKR1","CDC24"
"AKR1","GCS1"
"AKR1","IQG1"
"AKR1","STE18"
"AKR1","STE3"
"AKR1","STE5"
"AKR1","YAL028W"
"AKR2","YHR105W"
"ALF1","TUB1"
"ALPHA1","HTB1"
"ALPHA1","HTB2"
"ALR1","GCD7"
"ALR1","PGD1"
"ALR1","YGL024W"
"ALR1","YNL086W"
"AMD1","YLR465C"
"AME1","RPT3"
"AMI1","SYF3"
"AMI3","YLR095C"
"ANC1","SNF2"
"ANC1","SNF5"
"ANC1","TAF25"
"ANP1","HOC1"
"ANP1","MNN10"
"ANP1","MNN9"
"AOS1","UBA2"
"APC1","APC11"
"APC1","APC2"
"APC1","APC4"
"APC1","APC5"
"APC1","APC9"
"APC1","CDC16"
"APC1","CDC23"
"APC1","CDC26"
"APC1","CDC27"
"APC1","DOC1"
"APC11","APC2"
"APC11","APC4"
"APC11","APC5"
"APC11","APC9"
"APC11","CDC16"
"APC11","CDC23"
"APC11","CDC26"
"APC11","CDC27"
"APC11","DOC1"
"APC2","APC4"
"APC2","APC5"
"APC2","APC9"
"APC2","CDC16"
"APC2","CDC23"
"APC2","CDC26"
"APC2","CDC27"
"APC2","DMC1"
"APC2","DOC1"
"APC2","RAD51"
"APC4","APC5"
"APC4","APC9"
"APC4","CDC16"
"APC4","CDC23"
"APC4","CDC26"
"APC4","CDC27"
"APC4","DOC1"
"APC5","APC9"
"APC5","CDC16"
"APC5","CDC23"
"APC5","CDC26"
"APC5","CDC27"
"APC5","DOC1"
"APC9","CDC16"
"APC9","CDC23"
"APC9","CDC26"
"APC9","CDC27"
"APC9","DOC1"
"APG1","APG13"
"APG12","APG16"
"APG12","APG5"
"APG12","APG7"
"APG12","AUT1"
"APG12","YAR031W"
"APG13","FUR1"
"APG13","PUP2"
"APG13","SEC35"
"APG13","YNL086W"
"APG14","VPS30"
"APG16","APG5"
"APG16","MEC3"
"APG5","APG7"
"APG7","AUT1"
"APG7","AUT7"
"APG7","YDR412W"
"APL1","MSL5"
"APL2","APM1"
"APL2","APM2"
"APL2","INO4"
"APL2","PSE1"
"APL2","YHR083W"
"APT1","APT2"
"AQY2","CTF13"
"ARC1","MES1"
"ARC1","YGL245W"
"ARC15","ARC19"
"ARC15","ARP3"
"ARC18","ARP3"
"ARC19","ARP3"
"ARC19","YDR063W"
"ARC35","ARP3"
"ARG1","SRP1"
"ARG3","CDC7"
"ARGR2","GLK1"
"ARH1","CDC39"
"ARH1","GIF1"
"ARL3","YKR030W"
"ARO8","SMD1"
"ARP1","ARP10"
"ARP1","JNM1"
"ARP1","NIP100"
"ARP1","SRP1"
"ARP2","ARP3"
"ARP2","SRP1"
"ASK10","YKL116C"
"ASM4","NDC1"
"ATC1","BUD6"
"ATC1","MSL1"
"ATP17","ATP4"
"ATP20","SHE2"
"ATP4","ATP5"
"ATP4","ATP6"
"ATX1","CCC2"
"AUT1","AUT7"
"AUT2","AUT7"
"AUT2","TUB1"
"AUT2","TUB2"
"BAS1","MSL1"
"BAS1","SMI1"
"BAS1","YGL242C"
"BBP1","BFR1"
"BCK1","MKK1"
"BCK1","MKK2"
"BDF1","SKP1"
"BDF2","GLC7"
"BEM1","BOI1"
"BEM1","BOI2"
"BEM1","CDC24"
"BEM1","CDC42"
"BEM1","FAR1"
"BEM1","RSR1"
"BEM1","STE20"
"BEM1","STE5"
"BEM4","CDC42"
"BEM4","RHO1"
"BEM4","RHO2"
"BEM4","RHO4"
"BEM4","SCS3"
"BEM4","YIL163C"
"BEM4","YLR049C"
"BET1","SEC23"
"BET1","SEC24"
"BET1","YDR100W"
"BET2","BET4"
"BET3","BET5"
