"protein_A","protein_B"
"aaeA","ydhK"
"aas","alaS"
"aas","crl"
"aas","era"
"aas","ffh"
"aas","ftnA"
"aas","gapA"
"aas","glyQ"
"aas","gpt"
"aas","hslU"
"aas","kdsA"
"aas","mukB"
"aas","pgk"
"aas","phoA"
"aas","pnp"
"aas","polA"
"aas","recA"
"aas","tpiA"
"aas","ubiD"
"aas","udk"
"aas","xseA"
"aas","yajO"
"aas","yhbO"
"aas","yidC"
"abgB","ydjK"
"abgT","hflC"
"abgT","hflK"
"abgT","secF"
"abgT","yfcS"
"abrB","gsiB"
"accC","ansB"
"accC","dauA"
"accC","fkpA"
"accC","hyaA"
"accC","lolD"
"accC","mlaF"
"accC","osmY"
"accC","tcyP"
"accC","yedY"
"accC","yfeW"
"accC","yhiI"
"accC","zraS"
"aceA","aceB"
"aceB","glnS"
"aceB","yedF"
"aceK","ygeY"
"ackA","baeS"
"ackA","ggt"
"ackA","lolC"
"ackA","msbA"
"ackA","tamB"
"ackA","trg"
"ackA","ugpB"
"acnA","acnB"
"acnA","aspC"
"acnA","bioB"
"acnA","dapA"
"acnA","dauA"
"acnA","gabD"
"acnA","grxC"
"acnA","nadE"
"acnA","qor"
"acnA","sucC"
"acnA","sucD"
"acnA","ygiH"
"acnA","yicC"
"acnB","ftsE"
"acnB","hyaA"
"acnB","mrcB"
"acnB","plsC"
"acnB","sucD"
"acnB","tamB"
"acnB","ybaL"
"acpP","araF"
"acpP","brnQ"
"acpP","dgcF"
"acpP","dppA"
"acpP","envZ"
"acpP","fdnH"
"acpP","fliR"
"acpP","lolC"
"acpP","mgtA"
"acpP","mlaF"
"acpP","mppA"
"acpP","nuoA"
"acpP","oppB"
"acpP","oppC"
"acpP","pstS"
"acpP","secG"
"acpP","trg"
"acpP","ubiD"
"acpP","ugpA"
"acpP","ydaN"
"acpP","yiaD"
"acpP","ytfL"
"acpT","nagZ"
"acpT","rffA"
"acpT","yheT"
"acrA","arcB"
"acrA","baeS"
"acrA","bamA"
"acrA","cydC"
"acrA","cydD"
"acrA","dgcC"
"acrA","dgcF"
"acrA","fliP"
"acrA","fliR"
"acrA","kup"
"acrA","lpxD"
"acrA","macA"
"acrA","mdtF"
"acrA","mlaA"
"acrA","pal"
"acrA","putA"
"acrA","rhtA"
"acrA","tolB"
"acrA","tolC"
"acrA","tolQ"
"acrA","wza"
"acrA","yebQ"
"acrA","yfeH"
"acrA","yhiI"
"acrA","ytfL"
"acrA","znuA"
"acrA","zupT"
"acrB","amiC"
"acrB","appC"
"acrB","arcB"
"acrB","bacA"
"acrB","bamA"
"acrB","ccmE"
"acrB","ccmG"
"acrB","corA"
"acrB","cydB"
"acrB","cyoB"
"acrB","dgcC"
"acrB","fetB"
"acrB","ftsN"
"acrB","gntT"
"acrB","hemY"
"acrB","kdpA"
"acrB","kup"
"acrB","lptG"
"acrB","macA"
"acrB","mdtA"
"acrB","mlaA"
"acrB","mlaE"
"acrB","mrcA"
"acrB","ompN"
"acrB","pdeB"
"acrB","pheP"
"acrB","rcsF"
"acrB","sstT"
"acrB","tcyP"
"acrB","tolC"
"acrB","tolQ"
"acrB","tsx"
"acrB","wecH"
"acrB","ybjP"
"acrB","yedX"
"acrB","yhiI"
"acrB","yidC"
"acrB","yihP"
"acrB","yihY"
"acrB","yjbB"
"acrB","yjiY"
"acrB","ylaC"
"acrB","ynaI"
"acrB","yraQ"
"acrD","narQ"
"acrD","nuoL"
"acrF","mlaC"
"acrF","uspB"
"acrF","zntA"
"acs","aldB"
"acs","ansA"
"acs","astC"
"acs","dppA"
"acs","gcvH"
"acs","ldtA"
"acs","msrA"
"acs","purH"
"acs","purL"
"acs","sodC"
"acs","uvrB"
"acs","yafV"
"add","appC"
"add","copA"
"add","corA"
"add","cpdB"
"add","cydB"
"add","cydC"
"add","cydD"
"add","cyoA"
"add","cyoB"
"add","cyoC"
"add","dgcN"
"add","emrB"
"add","fecC"
"add","ggt"
"add","glpT"
"add","hemY"
"add","lpxM"
"add","malX"
"add","nuoA"
"add","ppiD"
"add","ugpB"
"add","yfeH"
"add","yfeW"
"adeP","alaS"
"adeP","ansB"
"adeP","aroG"
"adeP","atpC"
"adeP","atpF"
"adeP","clpX"
"adeP","deaD"
"adeP","deoB"
"adeP","epd"
"adeP","ettA"
"adeP","folP"
"adeP","glmS"
"adeP","gltB"
"adeP","gspD"
"adeP","guaA"
"adeP","hisG"
